                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00013,                  3e-05,                    nan,                    nan,                    nan,                0.00042,                0.00042,                0.00042
                      2,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,             0.00083162,             0.00083162,             0.00083162
                      3,                    nan,                    nan,                    nan,                0.00019,                0.05455,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,              0.0012142,              0.0012142,              0.0012142
                      4,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00014,                  3e-05,                    nan,                    nan,                    nan,              0.0015677,              0.0015677,              0.0015677
                      5,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00017,                  4e-05,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                      6,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00021,                  4e-05,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                      7,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00074,                0.00015,                    nan,                    nan,                    nan,                0.00167,                0.00167,                0.00167
                      8,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00104,                0.00017,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      9,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00366,                0.00052,                    nan,                    nan,                    nan,               0.001538,               0.001538,               0.001538
                     10,                    nan,                    nan,                    nan,                 0.0002,                0.05455,                0.00012,                  2e-05,                    nan,                    nan,                    nan,               0.001472,               0.001472,               0.001472
                     11,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00015,                  2e-05,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     12,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  2e-05,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     13,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00015,                  2e-05,                    nan,                    nan,                    nan,               0.001274,               0.001274,               0.001274
                     14,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00016,                  2e-05,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     15,                    nan,                    nan,                    nan,                0.00026,                0.07273,                0.00018,                  3e-05,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     16,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     17,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     18,                    nan,                    nan,                    nan,                0.00013,                0.03636,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,               0.000944,               0.000944,               0.000944
                     19,                    nan,                    nan,                    nan,                0.00019,                0.05455,                0.00011,                  1e-05,                    nan,                    nan,                    nan,               0.000878,               0.000878,               0.000878
